3elt.gra;4537708;4198981;0.031467;1;4720
airfoil1.gra;2310858;2134625;0.028526;1;4253
basic.gra;6;6;0.000175;1;4
bintree10.gra;187903;187901;0.003016;1;1023
c1y.gra;324041;291946;0.004309;1;828
c2y.gra;438956;399466;0.008666;1;980
c3y.gra;764028;685407;0.007298;1;1327
c4y.gra;747825;653985;0.007964;1;1366
c5y.gra;603484;528323;0.008352;1;1202
gd95c.gra;1396;1269;0.000502;1;62
gd96a.gra;314949;286716;0.004605;1;1096
gd96b.gra;1044;936;0.000595;1;111
gd96c.gra;1238;1134;0.000451;1;65
gd96d.gra;9095;8899;0.000715;1;180
hc10.gra;470928;470580;0.01082;1;1024
mesh33x33.gra;85604;83869;0.005546;1;1089
randomA1.gra;1315122;1187178;0.010115;1;1000
randomA2.gra;1730555;1628169;0.036624;1;1000
randomA3.gra;1703185;1626889;0.060835;1;1000
randomA4.gra;1508619;1366003;0.01641;1;1000
randomG4.gra;1309361;1170481;0.014606;1;1000
small.gra;13;11;0.000214;1;5
whitaker3.gra;10628677;10094133;0.066709;1;9800
3elt.gra;4537708;2994521;0.083452;10;47200
airfoil1.gra;2310858;1826599;0.077244;10;42530
basic.gra;6;6;0.000485;10;40
bintree10.gra;187903;184667;0.006952;10;10230
c1y.gra;324041;284401;0.013637;10;8280
c2y.gra;438956;373248;0.0153;10;9800
c3y.gra;764028;668072;0.021391;10;13270
c4y.gra;747825;623329;0.020407;10;13660
c5y.gra;603484;521681;0.017971;10;12020
gd95c.gra;1491;1027;0.001388;10;620
gd96a.gra;335249;282780;0.015688;10;10960
gd96b.gra;1107;1046;0.001592;10;1110
gd96c.gra;1170;1085;0.001324;10;650
gd96d.gra;6389;5234;0.002751;10;1800
hc10.gra;488276;487702;0.022538;10;10240
mesh33x33.gra;90200;60132;0.013751;10;10890
randomA1.gra;1224342;1114149;0.026807;10;10000
randomA2.gra;1618353;1518778;0.089386;10;10000
randomA3.gra;1729391;1598041;0.170559;10;10000
randomA4.gra;1706513;1279921;0.036585;10;10000
randomG4.gra;1200796;949700;0.035628;10;10000
small.gra;13;11;0.000497;10;50
whitaker3.gra;12391048;9356027;0.171532;10;98000
3elt.gra;3690261;2844495;0.59875;100;472000
airfoil1.gra;3860177;1827602;0.536394;100;425300
basic.gra;6;6;0.003543;100;400
bintree10.gra;189607;169047;0.048764;100;102300
c1y.gra;312845;267681;0.092397;100;82800
c2y.gra;405832;365225;0.112106;100;98000
c3y.gra;789013;611995;0.147886;100;132700
c4y.gra;742198;599159;0.152132;100;136600
c5y.gra;621915;494034;0.136073;100;120200
gd95c.gra;1659;1033;0.010506;100;6200
gd96a.gra;340227;274868;0.104455;100;109600
gd96b.gra;1107;822;0.012024;100;11100
gd96c.gra;1256;1045;0.009748;100;6500
gd96d.gra;5955;4805;0.017105;100;18000
hc10.gra;471206;470200;0.140012;100;102400
mesh33x33.gra;80356;58008;0.092285;100;108900
randomA1.gra;1325220;1077711;0.186302;100;100000
randomA2.gra;1603587;1501393;0.649401;100;100000
randomA3.gra;1750563;1586552;1.23074;100;100000
randomA4.gra;1768617;1237755;0.265675;100;100000
randomG4.gra;1226550;829258;0.256402;100;100000
small.gra;12;11;0.003724;100;500
whitaker3.gra;12232753;9075992;1.22657;100;980000
3elt.gra;3676443;3427372;0.031567;1;4720
airfoil1.gra;2204734;2040554;0.02845;1;4253
basic.gra;6;6;0.000182;1;4
bintree10.gra;190185;190183;0.002959;1;1023
